index,이름,종목
1,Bitcoin,BTC
2,XRP,XRP
3,Ethereum,ETH
4,Stellar,XLM
5,Tether,USDT
6,Bitcoin Cash,BCH
7,EOS,EOS
8,Bitcoin SV,BSV
9,Litecoin,LTC
10,TRON,TRX
11,Cardano,ADA
12,Monero,XMR
13,IOTA,MIOTA
14,NEM,XEM
15,Binance Coin,BNB
16,Dash,DASH
17,Ethereum Classic,ETC
18,NEO,NEO
19,Zcash,ZEC
20,Dogecoin,DOGE
21,Maker,MKR
22,Tezos,XTZ
23,TrueUSD,TUSD
24,VeChain,VET
25,Bitcoin Gold,BTG
26,USD Coin,USDC
27,OmiseGO,OMG
28,Paxos Standar...,PAX
29,0x,ZRX
30,Basic Attenti...,BAT
31,Ontology,ONT
32,Waves,WAVES
33,Qtum,QTUM
34,Decred,DCR
35,Lisk,LSK
36,Nano,NANO
37,Zilliqa,ZIL
38,Bytecoin,BCN
39,Bitcoin Diamond,BCD
40,DigiByte,DGB
41,BitShares,BTS
42,ICON,ICX
43,Aurora,AOA
44,Siacoin,SC
45,Aeternity,AE
46,Factom,FCT
47,Verge,XVG
48,Gemini Dollar,GUSD
49,Pundi X,NPXS
50,Chainlink,LINK
51,Steem,STEEM
52,QASH,QASH
53,Bytom,BTM
54,MaidSafeCoin,MAID
55,Augur,REP
56,Populous,PPT
57,Golem,GNT
58,Stratis,STRAT
59,Komodo,KMD
60,Revain,R
61,Holo,HOT
62,Decentraland,MANA
63,Dai,DAI
64,Cryptonex,CNX
65,WAX,WAX
66,Huobi Token,HT
67,Electroneum,ETN
68,DEX,DEX
69,Ardor,ARDR
70,Status,SNT
71,IOST,IOST
72,MobileGo,MGO
73,ODEM,ODE
74,Bitcoin Private,BTCP
75,KuCoin Shares,KCS
76,Insight Chain,INB
77,Nexo,NEXO
78,Waltonchain,WTC
79,Elastos,ELA
80,Linkey,LKY
81,STASIS EURS,EURS
82,Metaverse ETP,ETP
83,QuarkChain,QKC
84,Wanchain,WAN
85,TenX,PAY
86,Ravencoin,RVN
87,ReddCoin,RDD
88,Mithril,MITH
89,Ark,ARK
90,THETA,THETA
91,MOAC,MOAC
92,Polymath,POLY
93,Bancor,BNT
94,PIVX,PIVX
95,Centrality,CENNZ
96,Aion,AION
97,Crypto.com,MCO
98,aelf,ELF
99,GXChain,GXS
100,Loopring,LRC
101,Nxt,NXT
102,Mixin,XIN
103,HyperCash,HC
104,Loom Network,LOOM
105,Endor Protocol,EDR
106,Zcoin,XZC
107,MonaCoin,MONA
108,DigixDAO,DGD
109,Horizen,ZEN
110,Power Ledger,POWR
111,Veritaseum,VERI
112,Dentacoin,DCN
113,ProximaX,XPX
114,Nebulas,NAS
115,Digitex Futures,DGTX
116,XYO Network,XYO
117,Kin,KIN
118,Byteball Bytes,GBYTE
119,WaykiChain,WICC
120,Nectar,NEC
121,SmartCash,SMART
122,Nasdacoin,NSD
123,Enjin Coin,ENJ
124,Dropil,DROP
125,FunFair,FUN
126,BHPCash,BHPC
127,Smartlands,SLT
128,Credo,CREDO
129,BOScoin,BOS
130,SIRIN LABS Token,SRN
131,Gold Bits Coin,GBC
132,CyberMiles,CMT
133,Eidoo,EDO
134,Enigma,ENG
135,SingularityNET,AGI
136,Spectre.ai Di...,SXDT
137,Civic,CVC
138,Kyber Network,KNC
139,Maximine Coin,MXM
140,Gas,GAS
