#,이름,종목,시가총액,가격,유통 공급량,24시간 거래량,1시간 변동률,24시간 변동률,7일 변동률
1,Bitcoin,BTC,68.82 조,3948607,17.43 백만,6.74 조,-0.14%,6.34%,1.16%
2,XRP,XRP,15.07 조,369.60,40.76 십억*,936.01 십억,-0.64%,12.81%,7.88%
3,Ethereum,ETH,10.95 조,105401,103.87 백만,2.58 조,-0.04%,7.51%,3.35%
4,EOS,EOS,2.45 조,2708.04,906.25 백만*,1.42 조,0.19%,21.52%,27.41%
5,Stellar,XLM,2.34 조,121.97,19.17 십억 *,112.61 십억,-0.32%,10.57%,-7.24%
6,Tether,USDT,2.13 조,1144.86,1.86 십억*,4.92 조,-0.01%,0.88%,0.15%
7,Litecoin,LTC,1.92 조,32163.24,59.62 백만,681.37 십억,0.31%,3.99%,17.02%
8,Bitcoin Cash,BCH,1.75 조,99834.94,17.52 백만,131.10 십억,-0.61%,6.39%,-14.22%
9,Bitcoin SV,BSV,1.54 조,87739.30,17.52 백만,109.15 십억,-1.01%,1.72%,-14.69%
10,TRON,TRX,1.06 조,15.91,66.46 십억,108.64 십억,-0.21%,7.03%,5.89%
11,Cardano,ADA,947.34 십억,36.54,25.93 십억*,78.85 십억,-0.63%,9.85%,8.95%
12,Monero,XMR,812.95 십억,48815.01,16.65 백만,13.78 십억,-0.11%,6.30%,-1.24%
13,IOTA,MIOTA,791.86 십억,284.89,2.78 십억*,15.26 십억,0.13%,11.89%,3.61%
14,Binance Coin,BNB,738.49 십억,5646.00,130.80 백만*,22.29 십억,-0.14%,6.41%,6.67%
15,Dash,DASH,667.93 십억,78471.60,8.51 백만,147.69 십억,-0.81%,8.39%,2.77%
16,NEM,XEM,660.64 십억,73.40,9.00 십억*,11.16 십억,-0.34%,6.11%,-8.66%
17,Ethereum Classic,ETC,472.64 십억,4423.42,106.85 백만,131.09 십억,-1.02%,6.42%,-1.53%
18,NEO,NEO,467.78 십억,7196.58,65.00 백만*,116.29 십억,-0.41%,6.36%,5.91%
19,Zcash,ZEC,339.04 십억,61917.82,5.48 백만,139.19 십억,0.11%,4.25%,-1.55%
20,Dogecoin,DOGE,328.55 십억,2.80,117.45 십억,55.06 십억,-0.39%,15.89%,18.62%
